time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-06-10T03:45:53.960Z,35.8818333,-117.6908333,1.89,0.82,ml,16,78,0.07365,0.2,ci,ci39472504,2020-06-10T03:49:36.890Z,"20km ESE of Little Lake, CA",earthquake,0.31,0.54,0.109,11,automatic,ci,ci
2020-06-10T03:43:21.940Z,38.1747,-117.9173,15.9,0.4,ml,9,112.47,0.013,0.08,nn,nn00746250,2020-06-10T03:50:54.172Z,"29 km SE of Mina, Nevada",earthquake,,8.6,,,automatic,nn,nn
2020-06-10T03:38:40.039Z,61.1854,-147.132,1.5,1.8,ml,,,,0.86,ak,ak0207fz2r3y,2020-06-10T03:42:40.864Z,"42 km W of Valdez, Alaska",earthquake,,0.3,,,automatic,ak,ak
2020-06-10T03:32:24.810Z,38.1428,-117.9807,11.7,1.1,ml,15,106.42,0.02,0.12,nn,nn00746247,2020-06-10T03:45:21.487Z,"29 km SSE of Mina, Nevada",earthquake,,1.1,,,automatic,nn,nn
2020-06-10T03:31:50.110Z,38.173,-117.9083,5.7,0.9,ml,10,113.84,0.03,0.11,nn,nn00746246,2020-06-10T03:45:13.818Z,"29 km SE of Mina, Nevada",earthquake,,1,,,automatic,nn,nn
2020-06-10T03:27:25.410Z,38.133,-118.0005,2.6,0.4,ml,8,146.81,0.023,0.03,nn,nn00746245,2020-06-10T03:33:20.752Z,"30 km SSE of Mina, Nevada",earthquake,,8.5,,,automatic,nn,nn
2020-06-10T03:24:24.390Z,37.2791,20.4836,10,4.4,mb,,148,1.155,0.74,us,us6000a92u,2020-06-10T03:35:21.040Z,"57 km SSW of Lithakiá, Greece",earthquake,6.9,2,0.155,12,reviewed,us,us
2020-06-10T03:22:59.520Z,19.3328342,-155.2008362,4.54,1.77,ml,42,80,0.04302,0.13,hv,hv71549382,2020-06-10T03:28:49.820Z,"12 km SSE of Volcano, Hawaii",earthquake,0.32,0.81,0.24,9,automatic,hv,hv
2020-06-10T03:17:24.700Z,38.154,-117.9643,13.3,1.1,ml,19,105.52,0.02,0.08,nn,nn00746237,2020-06-10T03:22:40.279Z,"29 km SSE of Mina, Nevada",earthquake,,0.8,,,automatic,nn,nn
2020-06-10T03:15:36.508Z,62.0835,-146.7884,79,1.1,ml,,,,0.98,ak,ak0207fyxtde,2020-06-10T03:18:25.907Z,"10 km N of Nelchina, Alaska",earthquake,,0.9,,,automatic,ak,ak
2020-06-10T03:14:20.050Z,38.161,-117.8872,5.8,1,ml,11,140.86,0.017,0.05,nn,nn00746235,2020-06-10T03:22:32.516Z,"32 km SE of Mina, Nevada",earthquake,,0.3,,,automatic,nn,nn
2020-06-10T03:09:27.150Z,38.1712,-117.8612,7.8,1.3,ml,20,72.55,0.012,0.09,nn,nn00746232,2020-06-10T03:15:14.970Z,"32 km SE of Mina, Nevada",earthquake,,0.7,,,automatic,nn,nn
2020-06-10T03:00:44.540Z,38.1633,-118.0238,1.2,1.1,ml,18,86.8,0.028,0.13,nn,nn00746227,2020-06-10T03:04:34.715Z,"26 km SSE of Mina, Nevada",earthquake,,1.1,,,automatic,nn,nn
